Company Name;Company Code;HFM Entity Code;Currency;Dcoument Type;Debit/Credit indicator;Gross Value in Local Currency;Net Value in Local Currency;Gross Value in GBB;Net Value in GBB;Clearing Date;Document Date;Document Recipt Date;Due Date;Payment Date;Payment Terms Code;Payment Method Code;Trading Partner;Customer Code;Customer Name;SAP Reference Number;SAP Document Number
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SA;S;                     53219.25;                     53219.25;;;30/09/2021;31/05/2021;31/05/2021;31/12/2021;30/09/2021;;Bank Transfer;YES;0000101438;DS Smith PLC;;0700000001
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SA;H;                     43198.94;                     43198.94;;;30/09/2021;31/05/2021;31/05/2021;31/12/2021;30/09/2021;;Bank Transfer;YES;0000101438;DS Smith PLC;;0700000002
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SA;H;                     53219.25;                     53219.25;;;30/09/2021;30/06/2021;30/06/2021;31/12/2021;30/09/2021;;Bank Transfer;YES;0000101438;DS Smith PLC;;0700000003
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SA;S;                     51537.00;                        51537;;;30/09/2021;30/06/2021;30/06/2021;31/12/2021;30/09/2021;;Bank Transfer;YES;0000101438;DS Smith PLC;;0700000004
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SA;H;                     51537.00;                        51537;;;30/09/2021;31/07/2021;31/07/2021;31/12/2021;30/09/2021;;Bank Transfer;YES;0000101438;DS Smith PLC;;0700000005
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SA;S;                     53289.62;                     53289.62;;;30/09/2021;31/07/2021;31/07/2021;31/12/2021;30/09/2021;;Bank Transfer;YES;0000101438;DS Smith PLC;;0700000006
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SA;H;                     53289.62;                     53289.62;;;30/09/2021;31/08/2021;31/08/2021;31/12/2021;30/09/2021;;Bank Transfer;YES;0000101438;DS Smith PLC;;0700000007
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SA;S;                     53325.27;                     53325.27;;;30/09/2021;31/08/2021;31/08/2021;31/12/2021;30/09/2021;;Bank Transfer;YES;0000101438;DS Smith PLC;;0700000008
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SA;H;                     53325.27;                     53325.27;;;30/09/2021;30/09/2021;30/09/2021;31/12/2021;30/09/2021;;Bank Transfer;YES;0000101438;DS Smith PLC;;0700000009
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SA;S;                     51639.90;                      51639.9;;;31/10/2021;30/09/2021;30/09/2021;31/12/2021;31/10/2021;;Bank Transfer;YES;0000101438;DS Smith PLC;;0700000010
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SA;H;                     51639.90;                      51639.9;;;31/10/2021;31/10/2021;31/10/2021;31/12/2022;31/10/2021;;Bank Transfer;YES;0000101438;DS Smith PLC;;0700000011
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SA;S;                     53231.10;                      53231.1;;;28/02/2022;31/10/2021;31/10/2021;31/12/2022;28/02/2022;;Bank Transfer;YES;0000101438;DS Smith PLC;;0700000012
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SA;H;                     53231.10;                      53231.1;;;28/02/2022;30/11/2021;30/11/2021;31/12/2022;28/02/2022;;Bank Transfer;YES;0000101438;DS Smith PLC;;0700000014
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SA;S;                     51231.30;                      51231.3;;;28/02/2022;30/11/2021;30/11/2021;31/12/2022;28/02/2022;;Bank Transfer;YES;0000101438;DS Smith PLC;;0700000015
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SA;H;                     51231.30;                      51231.3;;;28/02/2022;31/12/2021;31/12/2021;31/12/2022;28/02/2022;;Bank Transfer;YES;0000101438;DS Smith PLC;;0700000016
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SA;S;                     52779.05;                     52779.05;;;28/02/2022;31/12/2021;31/12/2021;31/12/2022;28/02/2022;;Bank Transfer;YES;0000101438;DS Smith PLC;;0700000017
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SA;H;                     52779.05;                     52779.05;;;28/02/2022;31/01/2022;31/01/2022;31/12/2022;28/02/2022;;Bank Transfer;YES;0000101438;DS Smith PLC;;0700000018
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SA;S;                     45169.50;                      45169.5;;;30/09/2021;30/11/2020;30/11/2020;31/12/2021;30/09/2021;;Bank Transfer;YES;0000101438;DS Smith PLC;;0700000019
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SA;S;                     52528.62;                     52528.62;;;28/02/2022;31/01/2022;31/01/2022;31/12/2022;28/02/2022;;Bank Transfer;YES;0000101438;DS Smith PLC;;0700000019
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SA;H;                      3031.59;                      3031.59;;;30/04/2022;30/04/2020;30/04/2020;30/04/2020;30/04/2022;;Bank Transfer;YES;0000101750;D S Smith Packaging Austria;;0700000020
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SA;H;                     52528.62;                     52528.62;;;28/02/2022;28/02/2022;28/02/2022;30/04/2022;28/02/2022;;Bank Transfer;YES;0000101438;DS Smith PLC;;0700000020
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SA;S;                     47284.72;                     47284.72;;;30/04/2022;28/02/2022;28/02/2022;30/04/2022;30/04/2022;;Bank Transfer;YES;0000101438;DS Smith PLC;;0700000021
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SA;H;                     45169.50;                      45169.5;;;30/09/2021;31/12/2020;31/12/2020;31/12/2021;30/09/2021;;Bank Transfer;YES;0000101438;DS Smith PLC;;0700000022
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SA;S;                     46705.53;                     46705.53;;;30/09/2021;31/12/2020;31/12/2020;31/12/2021;30/09/2021;;Bank Transfer;YES;0000101438;DS Smith PLC;;0700000023
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SA;S;                     46736.84;                     46736.84;;;30/09/2021;31/01/2021;31/01/2021;31/12/2021;30/09/2021;;Bank Transfer;YES;0000101438;DS Smith PLC;;0700000026
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SA;H;                      1392.20;                       1392.2;;;30/04/2022;25/01/2021;31/01/2021;25/01/2021;30/04/2022;;Bank Transfer;YES;0000101750;D S Smith Packaging Austria;;0700000027
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SA;H;                     46705.53;                     46705.53;;;30/09/2021;31/01/2021;31/01/2021;31/12/2021;30/09/2021;;Bank Transfer;YES;0000101438;DS Smith PLC;;0700000029
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SA;H;                     46736.84;                     46736.84;;;30/09/2021;28/02/2021;28/02/2021;31/12/2021;30/09/2021;;Bank Transfer;YES;0000101438;DS Smith PLC;;0700000030
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SA;S;                     42242.20;                      42242.2;;;30/09/2021;28/02/2021;28/02/2021;31/12/2021;30/09/2021;;Bank Transfer;YES;0000101438;DS Smith PLC;;0700000031
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SA;H;                     42242.20;                      42242.2;;;30/09/2021;31/03/2021;31/03/2021;31/12/2021;30/09/2021;;Bank Transfer;YES;0000101438;DS Smith PLC;;0700000032
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SA;S;                     46796.67;                     46796.67;;;30/09/2021;31/03/2021;31/03/2021;31/12/2021;30/09/2021;;Bank Transfer;YES;0000101438;DS Smith PLC;;0700000033
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SA;H;                     46796.67;                     46796.67;;;30/09/2021;30/04/2021;30/04/2021;31/12/2021;30/09/2021;;Bank Transfer;YES;0000101438;DS Smith PLC;;0700000034
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SA;S;                     43198.94;                     43198.94;;;30/09/2021;30/04/2021;30/04/2021;31/12/2021;30/09/2021;;Bank Transfer;YES;0000101438;DS Smith PLC;;0700000035
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SA;H;                      1042.69;                      1042.69;;;30/04/2022;30/04/2021;30/04/2021;30/04/2021;30/04/2022;;Bank Transfer;YES;0000101750;D S Smith Packaging Austria;;0700000043
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SB;H;                    200000.00;                       200000;;;31/12/2021;31/12/2021;31/12/2021;31/12/2022;31/12/2021;;Bank Transfer;YES;0000101438;DS Smith PLC;;0800000011
DS Smith Austria Holdings;ATAU;CATAUH;EUR;SB;S;                      1392.20;                       1392.2;;;30/04/2022;25/01/2021;31/01/2021;15/02/2021;30/04/2022;GB06;Bank Transfer;YES;0000101750;D S Smith Packaging Austria;;0800000012
