Client;Company Code;Account Type;Account: List of Business Transactions;Document Type;Language Key;Document Type Description
030;ATAU;D;R;OD;E;customer OP transfer
030;ATAU;K;G;RE;E;Invoice receipt
030;ATAU;D;R;SA;E;G/L account document
030;ATAU;D;G;SB;E;G/L account posting
030;ATBE;K;G;RE;E;Invoice receipt
030;ATBE;K;G;SA;E;G/L account document
030;ATBE;K;G;SB;E;G/L account posting
030;ATHL;D;G;AB;E;Accounting document
030;ATHL;D;R;DR;E;Customer invoice
030;ATHL;K;G;KR;E;Vendor invoice
030;ATHL;D;R;OD;E;customer OP transfer
030;ATHL;K;G;OK;E;supplier OP transfer
030;ATHL;K;G;RA;E;Sub.cred.memo stlmt
030;ATHL;K;G;RE;E;Invoice receipt
030;ATHL;D;R;SA;E;G/L account document
030;ATHL;D;G;SB;E;G/L account posting
030;ATHL;K;G;ZP;E;Payment posting
030;ATKA;D;G;AB;E;Accounting document
030;ATKA;D;R;DA;E;Customer document
030;ATKA;D;G;DG;E;Customer credit memo
030;ATKA;D;R;DR;E;Customer invoice
030;ATKA;D;R;DV;E;Customer billing doc
030;ATKA;D;G;DZ;E;Customer payment
030;ATKA;K;G;KA;E;Vendor document
030;ATKA;K;G;KR;E;Vendor invoice
030;ATKA;K;G;KZ;E;Vendor payment
030;ATKA;D;G;OD;E;customer OP transfer
030;ATKA;K;G;RA;E;Sub.cred.memo stlmt
030;ATKA;K;G;RE;E;Invoice receipt
030;ATKA;D;R;SA;E;G/L account document
030;ATKA;K;G;SB;E;G/L account posting
030;ATKA;K;G;ZP;E;Payment posting
030;ATPA;D;R;AB;E;Accounting document
030;ATPA;D;G;DG;E;Customer credit memo
030;ATPA;D;R;DR;E;Customer invoice
030;ATPA;D;R;DV;E;Customer billing doc
030;ATPA;D;G;DZ;E;Customer payment
030;ATPA;K;G;KG;E;Vendor credit memo
030;ATPA;K;G;KR;E;Vendor invoice
030;ATPA;K;G;KZ;E;Vendor payment
030;ATPA;K;G;RN;E;Net invoice receipt
030;ATPA;D;R;SA;E;G/L account document
030;ATPA;K;G;SB;E;G/L account posting
030;ATPA;K;G;ZV;E;Payment clearing
030;ATWP;D;G;AB;E;Accounting document
030;ATWP;D;G;DG;E;Customer credit memo
030;ATWP;D;R;DR;E;Customer invoice
030;ATWP;D;G;DZ;E;Customer payment
030;ATWP;K;G;KG;E;Vendor credit memo
030;ATWP;K;G;KR;E;Vendor invoice
030;ATWP;K;G;KZ;E;Vendor payment
030;ATWP;K;G;RN;E;Net invoice receipt
030;ATWP;D;G;SA;E;G/L account document
030;ATWP;K;G;ZM;E;Invoice receipt - RO
030;ATWP;K;G;ZP;E;Payment posting
030;ATWP;K;G;ZV;E;Payment clearing
030;CZBO;D;G;AB;E;Accounting document
030;CZBO;D;R;DA;E;Customer document
030;CZBO;D;G;DG;E;Customer credit memo
030;CZBO;D;R;DR;E;Customer invoice
030;CZBO;D;R;DV;E;Customer billing doc
030;CZBO;D;G;DZ;E;Customer payment
030;CZBO;K;G;KA;E;Vendor document
030;CZBO;K;G;KG;E;Vendor credit memo
030;CZBO;K;G;KM;E;Vendor Manual TrdPrt
030;CZBO;K;G;KR;E;Vendor invoice
030;CZBO;K;G;RE;E;Invoice receipt
030;CZBO;D;G;RV;E;Billing doc.transfer
030;CZBO;K;G;SA;E;G/L account document
030;CZBO;D;G;SN;E;netting trading part
030;CZBO;D;G;ZP;E;Payment posting
030;CZBO;D;R;ZV;E;Payment clearing
030;CZJD;D;R;AB;E;Accounting document
030;CZJD;D;G;DG;E;Customer credit memo
030;CZJD;D;R;DR;E;Customer invoice
030;CZJD;D;R;DV;E;Customer billing doc
030;CZJD;D;G;DZ;E;Customer payment
030;CZJD;K;G;KA;E;Vendor document
030;CZJD;K;G;KG;E;Vendor credit memo
030;CZJD;K;G;KR;E;Vendor invoice
030;CZJD;D;G;SN;E;netting trading part
030;CZJD;D;G;ZP;E;Payment posting
030;CZJD;K;G;ZV;E;Payment clearing
030;CZJI;D;R;AB;E;Accounting document
030;CZJI;D;R;DA;E;Customer document
030;CZJI;D;G;DG;E;Customer credit memo
030;CZJI;D;R;DR;E;Customer invoice
030;CZJI;D;R;DV;E;Customer billing doc
030;CZJI;D;G;DZ;E;Customer payment
030;CZJI;K;G;KA;E;Vendor document
030;CZJI;K;G;KG;E;Vendor credit memo
030;CZJI;K;G;KM;E;Vendor Manual TrdPrt
030;CZJI;K;G;KR;E;Vendor invoice
030;CZJI;K;G;KZ;E;Vendor payment
030;CZJI;K;G;RE;E;Invoice receipt
030;CZJI;D;G;RV;E;Billing doc.transfer
030;CZJI;K;G;SA;E;G/L account document
030;CZJI;D;G;SN;E;netting trading part
030;CZJI;D;G;ZP;E;Payment posting
030;CZJI;D;R;ZV;E;Payment clearing
030;CZOB;D;R;AB;E;Accounting document
030;CZOB;D;R;DV;E;Customer billing doc
030;CZOB;D;G;DZ;E;Customer payment
030;CZOB;K;G;KA;E;Vendor document
030;CZOB;K;G;KG;E;Vendor credit memo
030;CZOB;K;G;KR;E;Vendor invoice
030;CZOB;K;G;KZ;E;Vendor payment
030;CZOB;D;R;OD;E;customer OP transfer
030;CZOB;K;G;RE;E;Invoice receipt
030;CZOB;K;G;SA;E;G/L account document
030;CZOB;D;G;SN;E;netting trading part
030;CZOB;D;G;ZP;E;Payment posting
030;CZOB;D;G;ZV;E;Payment clearing
030;CZSC;D;G;AB;E;Accounting document
030;CZSC;D;R;DA;E;Customer document
030;CZSC;D;G;DG;E;Customer credit memo
030;CZSC;D;R;DR;E;Customer invoice
030;CZSC;D;R;DV;E;Customer billing doc
030;CZSC;D;G;DZ;E;Customer payment
030;CZSC;K;G;KA;E;Vendor document
030;CZSC;K;G;KG;E;Vendor credit memo
030;CZSC;K;G;KM;E;Vendor Manual TrdPrt
030;CZSC;K;G;KR;E;Vendor invoice
030;CZSC;K;G;KZ;E;Vendor payment
030;CZSC;K;G;RE;E;Invoice receipt
030;CZSC;D;R;SA;E;G/L account document
030;CZSC;D;G;SN;E;netting trading part
030;CZSC;D;G;ZP;E;Payment posting
030;CZSC;D;R;ZV;E;Payment clearing
030;CZSP;D;G;AB;E;Accounting document
030;CZSP;D;R;DA;E;Customer document
030;CZSP;D;G;DG;E;Customer credit memo
030;CZSP;D;R;DR;E;Customer invoice
030;CZSP;D;R;DV;E;Customer billing doc
030;CZSP;D;G;DZ;E;Customer payment
030;CZSP;K;G;KA;E;Vendor document
030;CZSP;K;G;KG;E;Vendor credit memo
030;CZSP;K;G;KM;E;Vendor Manual TrdPrt
030;CZSP;K;G;KR;E;Vendor invoice
030;CZSP;K;G;RE;E;Invoice receipt
030;CZSP;D;G;RV;E;Billing doc.transfer
030;CZSP;K;G;SA;E;G/L account document
030;CZSP;D;G;SN;E;netting trading part
030;CZSP;D;G;ZP;E;Payment posting
030;CZSP;D;R;ZV;E;Payment clearing
030;DEAF;D;G;AB;E;Accounting document
030;DEAF;D;R;DA;E;Customer document
030;DEAF;D;G;DG;E;Customer credit memo
030;DEAF;D;R;DR;E;Customer invoice
030;DEAF;D;R;DZ;E;Customer payment
030;DEAF;D;R;KA;E;Vendor document
030;DEAF;K;G;RE;E;Invoice receipt
030;DEAF;K;G;RN;E;Net invoice receipt
030;DEAF;D;R;SA;E;G/L account document
030;DEAF;K;G;SB;E;G/L account posting
030;DEAF;D;G;ZA;E;Customer invoice
030;DEAF;D;G;ZE;E;Incoming payment
030;DEAF;D;G;ZF;E;Factoring
030;DEAF;D;R;ZG;E;'Line item tradepart
030;DEAF;D;R;ZP;E;Payment posting
030;DEAF;D;R;ZZ;E;Customer invoice
030;DEAN;D;G;AB;E;Accounting document
030;DEAN;D;R;DA;E;Customer document
030;DEAN;D;G;DG;E;Customer credit memo
030;DEAN;D;R;DN;E;Customer invoice
030;DEAN;D;R;DR;E;Customer invoice
030;DEAN;D;R;DZ;E;Customer payment
030;DEAN;K;G;KA;E;Vendor document
030;DEAN;K;G;KR;E;Vendor invoice
030;DEAN;K;G;RE;E;Invoice receipt
030;DEAN;K;G;RN;E;Net invoice receipt
030;DEAN;K;G;SA;E;G/L account document
030;DEAN;K;G;SB;E;G/L account posting
030;DEAN;D;R;ZA;E;Customer invoice
030;DEAN;D;G;ZE;E;Incoming payment
030;DEAN;D;G;ZF;E;Factoring
030;DEAN;K;G;ZG;E;'Line item tradepart
030;DEAN;D;R;ZI;E;CM Proc Credit Memo
030;DEAN;D;G;ZJ;E;CM Proc Debit Memo
030;DEAN;D;R;ZP;E;Payment posting
030;DEAN;D;R;ZV;E;Payment clearing
030;DEAN;D;R;ZZ;E;Customer invoice
030;DEAR;D;G;AB;E;Accounting document
030;DEAR;D;G;DA;E;Customer document
030;DEAR;D;G;DG;E;Customer credit memo
030;DEAR;D;R;DR;E;Customer invoice
030;DEAR;D;G;DZ;E;Customer payment
030;DEAR;K;G;KA;E;Vendor document
030;DEAR;K;G;KR;E;Vendor invoice
030;DEAR;K;G;RE;E;Invoice receipt
030;DEAR;K;G;RN;E;Net invoice receipt
030;DEAR;D;R;SA;E;G/L account document
030;DEAR;K;G;SB;E;G/L account posting
030;DEAR;D;G;ZA;E;Customer invoice
030;DEAR;D;G;ZE;E;Incoming payment
030;DEAR;D;G;ZF;E;Factoring
030;DEAR;D;G;ZG;E;'Line item tradepart
030;DEAR;D;R;ZI;E;CM Proc Credit Memo
030;DEAR;D;G;ZJ;E;CM Proc Debit Memo
030;DEAR;D;R;ZP;E;Payment posting
030;DEAR;D;R;ZV;E;Payment clearing
030;DEAR;D;R;ZZ;E;Customer invoice
030;DEBH;D;G;DZ;E;Customer payment
030;DEBH;D;R;SA;E;G/L account document
030;DEBH;K;G;ZP;E;Payment posting
030;DEBL;D;G;AB;E;Accounting document
030;DEBL;D;G;DA;E;Customer document
030;DEBL;D;G;DG;E;Customer credit memo
030;DEBL;D;R;DR;E;Customer invoice
030;DEBL;D;G;DZ;E;Customer payment
030;DEBL;K;G;KA;E;Vendor document
030;DEBL;K;G;KR;E;Vendor invoice
030;DEBL;K;G;RE;E;Invoice receipt
030;DEBL;K;G;RN;E;Net invoice receipt
030;DEBL;D;G;SA;E;G/L account document
030;DEBL;K;G;SB;E;G/L account posting
030;DEBL;D;R;ZA;E;Customer invoice
